date,factor,ic,rank_ic,n
2024-02-01,mom_60,0.2656473125152064,0.2109756097560976,41
2024-02-01,roe,0.0050803265697325385,0.2076923076923077,40
2024-02-02,bp,-0.3829715468227654,-0.44961155487471277,38
2024-02-02,ep,-0.2301532900590878,-0.2665991902834008,39
2024-02-02,mom_20,0.17809020225183583,0.210801393728223,41
2024-02-02,mom_60,0.09803027336700389,0.07160278745644601,41
2024-02-02,roe,0.16901167350168475,0.30431519699812387,40
2024-02-05,bp,-0.06171497614638255,-0.12091038406827881,38
2024-02-05,ep,0.00974773726251827,0.09170040485829961,39
2024-02-05,mom_20,-0.06782692190012342,-0.1526132404181185,41
2024-02-05,mom_60,0.030935412546754682,0.01777003484320558,41
2024-02-05,roe,0.24822808465398288,0.08161350844277675,40
2024-02-06,bp,-0.18584386688194612,-0.2156691104059525,38
2024-02-06,ep,-0.07684909641555708,-0.0257085020242915,39
2024-02-06,mom_20,0.4495368767058412,0.33466898954703844,41
2024-02-06,mom_60,0.3291952207875363,0.2668989547038328,41
2024-02-06,roe,0.10455289698776489,0.12983114446529084,40
2024-02-07,bp,-0.03621326126514389,0.10296531349162928,38
2024-02-07,ep,-0.0240090810962145,-0.05020242914979757,39
2024-02-07,mom_20,0.44827846396775217,0.3653310104529618,41
2024-02-07,mom_60,0.47122654637329464,0.42543554006968654,41
2024-02-07,roe,-0.03635898465079257,-0.2358348968105066,40
2024-02-08,bp,0.39197965409629093,0.29926687821424663,38
2024-02-08,ep,0.2658381736790417,0.1993927125506073,39
2024-02-08,mom_20,0.14101424730038137,0.14320557491289201,41
2024-02-08,mom_60,0.3668744167543041,0.42038327526132413,41
2024-02-08,roe,-0.07949553809223465,-0.2956848030018762,40
2024-02-09,bp,0.4291182227212781,0.33515701936754566,38
2024-02-09,ep,0.34187574259563025,0.3552631578947369,39
2024-02-09,mom_20,-0.047191986938265346,-0.04634146341463416,41
2024-02-09,mom_60,0.1447584559885853,0.14634146341463417,41
2024-02-09,roe,-0.0602480635002993,-0.21219512195121956,40
2024-02-12,bp,0.37459823581513235,0.2710362184046395,38
2024-02-12,ep,0.2960668290980742,0.24919028340080973,39
2024-02-12,mom_20,-0.15762615748643616,-0.18379790940766555,41
2024-02-12,mom_60,-0.0005981218331047861,-0.0372822299651568,41
2024-02-12,roe,-0.07498868651768333,-0.18630393996247654,40
2024-02-13,bp,0.48111907226280476,0.4784987416566364,38
2024-02-13,ep,0.3954031872438517,0.42935222672064777,39
2024-02-13,mom_20,-0.26335193101380894,-0.27804878048780496,41
2024-02-13,mom_60,-0.21325713147656988,-0.2015679442508711,41
2024-02-13,roe,-0.024366516582233873,-0.3420262664165104,40
2024-02-14,bp,0.3928823010295407,0.4447970237443922,38
2024-02-14,ep,0.2641570648812037,0.27975708502024293,39
2024-02-14,mom_20,0.11880095322035064,-0.09651567944250873,41
2024-02-14,mom_60,0.20492943398941138,0.030487804878048783,41
2024-02-14,roe,-0.0070978872899746534,-0.40168855534709197,40
2024-02-15,bp,0.0648178289252787,0.1185031185031185,38
2024-02-15,ep,-0.03543612225868665,-0.019838056680161944,39
2024-02-15,mom_20,0.2554882203547477,0.038850174216027884,41
2024-02-15,mom_60,0.36749556377394926,0.22212543554006975,41
2024-02-15,roe,0.05085446840526691,-0.1480300187617261,40
2024-02-16,bp,-0.012474330927055655,0.09202319728635518,38
2024-02-16,ep,-0.09565407020410738,-0.1208502024291498,39
2024-02-16,mom_20,0.18450674665701963,0.057839721254355415,41
2024-02-16,mom_60,0.4031889601936964,0.3630662020905924,41
2024-02-16,roe,0.022046620654027203,-0.25234521575985,40
2024-02-20,bp,0.008327653914879182,0.06598096071780282,38
2024-02-20,ep,-0.05044567840615387,-0.13643724696356277,39
2024-02-20,mom_20,0.2819749890265834,0.1958188153310105,41
2024-02-20,mom_60,0.5780580123271829,0.5698606271777005,41
2024-02-20,roe,0.0596523847835598,-0.18198874296435275,40
2024-02-21,bp,0.03509800232443849,0.10690447532552796,38
2024-02-21,ep,-0.04845749180998343,-0.12611336032388665,39
2024-02-21,mom_20,0.2373511409799043,0.17299651567944258,41
2024-02-21,mom_60,0.5767506210698459,0.598432055749129,41
2024-02-21,roe,0.05227913388120231,-0.23939962476547844,40
2024-02-22,bp,0.2069533339609325,0.13360323886639675,38
