date,portfolio_return,benchmark_return,turnover,cost,nav
2023-08-08,-0.007937533852053869,-0.004348627991149545,0.0,0.0,2.1316658423650208
2023-08-09,-0.011889347546590963,-0.006685171773759824,0.0,0.0,2.1063217263119465
2023-08-10,0.00018919010105840074,0.0003588749825718107,0.0,0.0,2.106720221532209
2023-08-11,-0.0020594888743279255,-0.0005830777777148244,0.0,0.0,2.1023814546746418
2023-08-14,0.006441838268553667,0.005520031427574512,0.0,0.0,2.1159246559844624
2023-08-15,-0.014562213488852794,-0.011648934932562027,0.0,0.0,2.085112109417689
2023-08-16,-0.010094918301401332,-0.0073381355833658235,0.0,0.0,2.064063073023855
2023-08-17,-0.006443704565638481,-0.007619912760666092,0.0,0.0,2.0507628603764454
2023-08-18,-0.002163305313157027,0.00048129541609931437,0.0,0.0,2.046326434184568
2023-08-21,0.012406855346630543,0.006506378149942371,0.0,0.0,2.071714910245482
2023-08-22,-0.008188349982236932,-0.002708574551783194,0.0,0.0,2.0547509834969735
2023-08-23,0.011910666075604094,0.01113767453928216,0.0,0.0,2.079224436329925
2023-08-24,-0.013722058214108225,-0.013859189290343799,0.0,0.0,2.0506931975744096
2023-08-25,0.005614749301029737,0.0070499081688766285,0.0,0.0,2.0622073257721167
2023-08-28,0.009545078154260011,0.006341382598641143,0.0,0.0,2.0818912558668994
2023-08-29,0.01887745756102957,0.014454723615913823,0.0,0.0,2.1211920696962054
2023-08-30,0.002579956423435109,0.004118908529335608,0.0,0.0,2.1266646528017574
2023-08-31,0.0026917930224421628,-0.0014635934287092756,0.0,0.0,2.1323891938752437
2023-09-01,0.004234837726018287,0.0018654281834353803,0.4,0.0004,2.14141951608002
2023-09-05,-0.0036450125975448716,-0.004321942488991537,0.0,0.0,2.13361401496728
2023-09-06,-0.003207198797432642,-0.006722610470139667,0.0,0.0,2.1267710906642914
2023-09-07,-0.0023664311941004046,-0.003070201836031683,0.0,0.0,2.1217382332126324
2023-09-08,0.004729086106399316,0.0015060914848479268,0.0,0.0,2.1317721160127348
2023-09-11,-0.0009853591697026932,0.006576697106064566,0.0,0.0,2.129671554810505
2023-09-12,0.003281460598583824,-0.005485706732924589,0.0,0.0,2.1366599881055404
2023-09-13,-0.0007670269010378095,0.0011660882273971662,0.0,0.0,2.1350211124162923
2023-09-14,0.007031142772570219,0.008622328143939706,0.0,0.0,2.150032750680143
2023-09-15,-0.012346158257840823,-0.012048227426621594,0.0,0.0,2.123488106080705
2023-09-18,0.0021530269694697295,0.0005864872735670268,0.0,0.0,2.1280600332424453
2023-09-19,-0.002233439366857232,-0.0020740353400746647,0.0,0.0,2.123307140189166
2023-09-20,-0.011438585975400673,-0.009193181625840596,0.0,0.0,2.0990195089139303
2023-09-21,-0.020587782299122604,-0.016528524614168205,0.0,0.0,2.0558053522227993
2023-09-22,-0.002130207318298938,-0.0022484168137232308,0.0,0.0,2.051426060616496
2023-09-25,0.004853027819708683,0.004205156759273132,0.0,0.0,2.0613816883587432
2023-09-26,-0.012177190102933593,-0.014691234660725416,0.0,0.0,2.036279851664893
2023-09-27,0.005747776291069367,0.0003992123392688729,0.0,0.0,2.0479839327182745
2023-09-28,0.006150388336498003,0.005797427674593791,0.0,0.0,2.0605798292114
2023-09-29,-0.007048044339952254,-0.002426952099509716,0.0,0.0,2.046056771209107
2023-10-02,-0.003961068950435248,-0.0003976444775548593,0.5,0.0005,2.037952199261843
2023-10-03,-0.014413793943890148,-0.013386107454905871,0.0,0.0,2.0085775761941846
2023-10-04,0.0005006676439065437,0.007281944745552105,0.0,0.0,2.0095832059968615
2023-10-05,-0.0006952824333122112,-0.0003767825160456706,0.0,0.0,2.0081859780954527
2023-10-06,0.010104995004066426,0.01187275199782234,0.0,0.0,2.0284786873713436
2023-10-09,0.010863473755946462,0.006402239174813751,0.0,0.0,2.050515012356099
2023-10-10,0.0027919889181298955,0.00520479339454516,0.0,0.0,2.056240027547056
2023-10-11,-0.0007158226082667086,0.004096454557633633,0.0,0.0,2.054768124447315
2023-10-12,-0.0014806285018300282,-0.006096666464380118,0.0,0.0,2.0517257761976064
